text,sentiment
آقای رشیدپور من تا هفته NUM۲ بچه‌ام پسر بود و لحظه به دنیا اومدنش دختر شد خداروشکررر😂 😂. شما ببین این وروجک چجوری من و باباش و دکتر رو سر انگشتش چرخوند😂,positive
چقدر این دزد باحال بود😁 😁 😁 😁 😁 😁 🌹,positive
سلام اگر ممکنه از کلمه سی تی اسکن تو برنامتون استفاده نکنید به نظر جالب نیست مجناب رشید پور,negative
شما پول اینترنتت و گوشیت رو هزینه بچت کن,neutral
آقای رشید پور به روستای ما بن گوشت یخ زده دادن به شورا و دهیار. دو نفری همه را کشیدن بالا. از توابع قزوین,negative
۰۰۸ شما خیلی ببخشید با پنج هزار تومان تا کجا میتونی بری که تا دکتر بری عمل کنی اگه محل شما با پنج هزار یا ده هزار خرج این چیزا در میاد آدرس بده بیام اونجا,neutral
سلام لطفا پیام منو بخونید من دانشجو دانشگاه ازاد خرم اباد هستم و از نظر اقتصادی وضعیت مالی خیلی ضعیفی دارم و دارای معلولیت جسمی هستم.. من به پشتوانه اینکه بهزیستی شهریه رو واریز میکنه رفتم دانشگاه و سه ترمه که شهریه از طرف بهزیستی واریز شده و من درس خوندم اما الان ترم چهارم هستم و به خاطر اینکه بهزیستی پول واریز نکرده به حساب دانشگاه ازاد من رو از درس خوندن منع کردن الان من چ گناهی دارم که یک میلیون چهارصد باید شهریه دانشگاهی رو بدم که دولت باید ان رو پرداخت کنه کل درامد خانوادم در سال NUM۱ میلیون نمیرسه چجوری یک میلیون چهار صد شهریه بدم من با پشتوانه اینکه بهزیستی پول واریز میکنه رفتم دانشگاه مگر نه میرفتیم پی بدبختیم,negative
سلام اقای رشیدپور، به خدا دیگه درشان مردم ایران نیست که دوباره تو صف طویل مایحتاج (گوشت) مانند دوران اوایل انقلاب باشیم،، چرا با این همه ثروت انقدر نیازمند این صفها باشیم،،، یا خدا,negative
سلام و خسته نباشین من چند بار براتون پیام دادیم ولی نخ‌وندین اینایی ک این پولو برنده میشن چیکار میکنن که براشون پول ب اسمشون در میاد من تازه ازدواج کردم بخاطره اینکه مادر شوهرم از دنیا رفت برادر شوهرم ک بزرگ بود مارو از خونه بیرون کرد ما پیش پول خونه نداریم بزور جور کردیم ی جایرو پیدا کردیم ولی الان باید از این خونه بلند شیم ولی پولی نداریم لطفا بدون نام,negative
سلام آقای رشید پور عزیز شما به اون آقایی که برنده شده_بودند فرمودین کسی تماس میگیره شماره حسابتون را بهش بگین آیا ممکن نیست کسی سوع استفاده کند و حسابش را خالی کند منظورم افراد متغلب است,neutral
لطفا محکم کاری بفرمایین چون اون آقا ساده بود گول نخوره متشکرم,neutral
جناب آقای رشید پور سلام. اگر امکان دارد از همکاران زحمتکش پشت صحنه به نوبت حالا هر طور خودتان میدانید دعوت بشود تا ما آنها را ببینیم واز این طریق ازشان قدر دانی بشود. برنامه فوق العاده است خدا قوت. سلجوقی از بندرعباس,positive
عرض سلام خدمت برنامه‌ی حالا خورشید. متاسفانه طی ظلمی که در دوره‌ی وزیر سابق بهداشت بر ما روا داشته_شد، برده داری نوین را به نحوی احیا کردند. در حالی که خیلی از ما‌ها به صورت عادی به عنوان دانشجوی پزشکی پذیرفته میشدیم، با طرح جدید وزارت که تبدیل به قانون شد عملا سهمیه‌ی روزانه کاسته_شد و ما نیز که عمدتا از قشر متوسط و ضعیف جامعه بودیم توانایی پرداخت هزینه‌های گزاف پذیرش در سهمیه‌ی مازاد و بین الملل را نداشتیم و تن به این تعهد اجباری دادیم. تعهدی که اخیرا شرایطی قرار است تحمیل کنند که ما از قبل ان را نمی‌دانستیم و اخیرا اعلام وصول در مجلس شده. متاسفانه هیچ کسی حاضر به شنیدن حرف ما نیست، ما تریبونی میخواهیم که فقط بتوانیم حرفمان را بزنیم، صدای ما افراد معمولی را بشنوید و بگذارید درخواست هایمان را، پیشنهادهایمان را ارائه بدهیم. خدا میداند تقریبا همه‌ی ما رتبه‌های برتر هستیم اما متاسفانه مسئولین به این امر بدیهی هم واقف نیستند. خواهش میکنیم اجازه بدهید ما صحبت هایمان را در میان بگذاریم. نماینده‌ی ما در تلگرام ID هست که تمامی کم لطفی‌ها، درخواست‌ها، پیشنهادات و... را در اختیارتان قرار خواهد_داد TAG دانشجویان سهمیه مناطق محروم رشته‌های پزشکی دندانپزشکی و داروسازی مقطع عمومی سهمیه‌ی مناطق محروم,neutral
